ID,Species,Binomial,Presence_of_Data,Publish_Date,Original_Data,Date_Start,Date_End,Country,Lat,Long,Sample_Size,Age_Min,Age_Max,Testicular_Volume,Testicular_Circumference,Collection_Method,Seminal_Volume,Mean_Motility,Sperm_Concentration,%_Normal_Morphology,%_Intact_Acrosome,%_Head_Abnormalities,%_Midpiece_Abnormalities,%_Tail_Abnormalities,Housing,Pairing,Reference,Comments,,,,,,,,,
87,Clouded Leopard,Neofelis nebulosa,Yes,2016-12-01,Yes,2012-11-01,2015-03-31,THA,13.21498555,101.0570439,4,2,11,20.8,14.1,EEJ,0.3944,79.2,196.6,40.9,47.9,20.8,17,24.1,captive,pair,https://doi.org/10.1016/j.theriogenology.2016.07.020,,,,,,,,,,
88,Iberian Ibex,Capra pyrenaica,Yes,2014-10-01,Yes,,,ESP,40.45570807,-3.749399298,11,3,11,,,EEJ,,26.9,,33.8,93.3,,,,captive,,https://doi.org/10.1016/j.anireprosci.2014.07.003,,,,,,,,,,
89,Fallow Deer,Dama dama,Yes,2018-05-01,Yes,2014-12-01,2015-02-28,ESP,38.16213133,-2.719101604,8,,,,,EEJ,,53.13,,88.12,99.26,,,,wild,,https://doi.org/10.1016/j.anireprosci.2018.03.010,,,,,,,,,,
90,Bonobo,Pan paniscus,Yes,1977-11-24,No,,,USA,33.80322704,-84.31803962,1,,,,,EEJ,,,,98,,1.5,0,0,captive,,https://doi.org/10.1038/270345a0,,,,,,,,,,
91,Bornean Orangutan,Pongo pygmaeus,Yes,1977-11-24,No,,,USA,33.80322704,-84.31803962,2,,,,,EEJ,,,,98.5,,0.3,0.5,0,captive,,https://doi.org/10.1038/270345a0,,,,,,,,,,
92,Northern Palm Civet,Paradoxurus hermaphroditus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Black Langur,Trachypithecus ebenus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Napo Saki,Pithecia napensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Buff-footed Antechinus,Antechinus mysticus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Mountain Pygmy Possum,Burramys parvus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Polar Bear,Ursus maritimus,Yes,2014-09-01,Yes,,,USA,43.20501351,-77.6238437,1,22,22,,,EEJ,,85,,89,,,,,captive,pair,https://doi.org/10.1638/2013-0055R1.1,,,,,,,,,,
98,Sumatran Giant White-toothed Shrew,Crocidura lepidura,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Sumatran Orangutan,Pongo abelii,No,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1002/zoo.1430120303,,,,,,,,,,
100,Lavasoa Dwarf Lemur,Cheirogaleus lavasoensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Makwassie White-toothed Shrew,Crocidura maquassiensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Himalayan Takin,Budorcas taxicolor,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Thalia's White-toothed Shrew,Crocidura thalia,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Four-toed Rice Tenrec,Oryzorictes tetradactylus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Juliana's Golden Mole,Neamblysomus julianae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Chestnut-bellied Titi,Plecturocebus caligatus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Burmese Short-tailed Shrew,Blarinella wardi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,White-tailed Jackrabbit,Lepus townsendii,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Goodwin's Broad-clawed Shrew,Cryptotis goodwini,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Moonshine White-toothed Shrew,Crocidura luna,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Common Brush-tailed Possum,Trichosurus vulpecula,Yes,1998-02-01,Yes,1994-08-01,,NZL,-43.35457526,172.2902122,16,,,,,multiple,,,50,,,,,,wild,alone,https://doi.org/10.1016/S0165-0378(97)00076-4,,,,,,,,,,
112,Common Brush-tailed Possum,Trichosurus vulpecula,Yes,1991-01-01,Yes,,,AUS,-32.92822542,151.7815135,5,,,,,EEJ,,55,14.3,,,,,,wild,alone,https://doi.org/10.1071/RD9910119,,,,,,,,,,
113,Southern Hairy-nosed Wombat,Lasiorhinus latifrons,Yes,2006-02-28,Yes,1993-01-01,2000-12-31,AUS,-34.54991161,139.2800215,251,,,,,EEJ,2.775,70.5,5.3,,,,,,wild,,https://doi.org/10.1071/RD07128,,,,,,,,,,
114,Tasmanian Devil,Sarcophilus harrisii,Yes,2012-07-15,Yes,2007-07-01,2009-04-30,AUS,-43.08449188,147.798333,34,1.5,4,,,EPD,,47.91666667,,63,,,,,wild,,https://doi.org/10.1016/j.theriogenology.2012.02.005,,,,,,,,,,
115,Unduavi Mouse Opossum,Cryptonanus unduaviensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Ussuri Mole,Mogera robusta,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Nyiro White-toothed Shrew,Crocidura macowi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
