order_id,mainCommonName,scientific_name,otherCommonNames,Search,
80,Hairy-tailed White-toothed Shrew,Crocidura caudipilosa,Sulawesi Hairy-Tailed Shrew,Sulawesi Hairy-Tailed Shrew,"""Hairy-tailed White-toothed Shrew"" OR ""Crocidura caudipilosa"" OR ""Sulawesi Hairy-Tailed Shrew"""
81,Hernández-Camacho's Night Monkey,Aotus jorgehernandezi,Hernández-Camacho's Owl Monkey,Hernández-Camacho's Owl Monkey,"""Hernández-Camacho's Night Monkey"" OR ""Aotus jorgehernandezi"" OR ""Hernández-Camacho's Owl Monkey"""
82,Putty-nosed Monkey,Cercopithecus nictitans,Greater Spot-nosed Guenon|Greater White-nosed Monkey|Putty-nosed Guenon|White-nosed Guenon|Bioko Putty-nosed Monkey|Eastern Putty-nosed Monkey|Nigerian Putty-nosed Monkey|Red-rumped Putty-nosed Monkey|Stampfli's Putty-nosed Monkey,"Greater Spot-nosed Guenon"" OR ""Greater White-nosed Monkey"" OR ""Putty-nosed Guenon"" OR ""White-nosed Guenon"" OR ""Bioko Putty-nosed Monkey"" OR ""Eastern Putty-nosed Monkey"" OR ""Nigerian Putty-nosed Monkey"" OR ""Red-rumped Putty-nosed Monkey"" OR ""Stampfli's Putty-nosed Monkey","""Putty-nosed Monkey"" OR ""Cercopithecus nictitans"" OR ""Greater Spot-nosed Guenon"" OR ""Greater White-nosed Monkey"" OR ""Putty-nosed Guenon"" OR ""White-nosed Guenon"" OR ""Bioko Putty-nosed Monkey"" OR ""Eastern Putty-nosed Monkey"" OR ""Nigerian Putty-nosed Monkey"" OR ""Red-rumped Putty-nosed Monkey"" OR ""Stampfli's Putty-nosed Monkey"""
83,Subantarctic Fur Seal,Arctocephalus tropicalis,Amsterdam Island Fur Seal,Amsterdam Island Fur Seal,"""Subantarctic Fur Seal"" OR ""Arctocephalus tropicalis"" OR ""Amsterdam Island Fur Seal"""
84,Lion,Panthera leo,NA,NA,"""Lion"" OR ""Panthera leo"""
85,Evaristo's Small-eared Shrew,Cryptotis evaristoi,NA,NA,"""Evaristo's Small-eared Shrew"" OR ""Cryptotis evaristoi"""
86,Raffles's Banded Langur,Presbytis femoralis,NA,NA,"""Raffles's Banded Langur"" OR ""Presbytis femoralis"""
87,Cayman Nesophontes,Nesophontes hemicingulus,NA,NA,"""Cayman Nesophontes"" OR ""Nesophontes hemicingulus"""
88,Armenian White-toothed Shrew,Crocidura armenica,Armenian Shrew,Armenian Shrew,"""Armenian White-toothed Shrew"" OR ""Crocidura armenica"" OR ""Armenian Shrew"""
89,Bawean Deer,Axis kuhlii,NA,NA,"""Bawean Deer"" OR ""Axis kuhlii"""
90,Lesser Congo Shrew,Congosorex verheyeni,NA,NA,"""Lesser Congo Shrew"" OR ""Congosorex verheyeni"""
91,Blue-eyed Black Lemur,Eulemur flavifrons,Sclater's Black Lemur|Sclater's Lemur,"Sclater's Black Lemur"" OR ""Sclater's Lemur","""Blue-eyed Black Lemur"" OR ""Eulemur flavifrons"" OR ""Sclater's Black Lemur"" OR ""Sclater's Lemur"""
92,Akaibe's Forest Shrew,Sylvisorex akaibei,Dudu Akaibe's Pygmy Shrew,Dudu Akaibe's Pygmy Shrew,"""Akaibe's Forest Shrew"" OR ""Sylvisorex akaibei"" OR ""Dudu Akaibe's Pygmy Shrew"""
93,Tucuxi,Sotalia fluviatilis,Brazilian Dolphin|Gray River Dolphin,"Brazilian Dolphin"" OR ""Gray River Dolphin","""Tucuxi"" OR ""Sotalia fluviatilis"" OR ""Brazilian Dolphin"" OR ""Gray River Dolphin"""
94,Central African Potto,Perodicticus edwardsi,Cameroon Potto|Milne-Edwards's Potto|Central Potto,"Cameroon Potto"" OR ""Milne-Edwards's Potto"" OR ""Central Potto","""Central African Potto"" OR ""Perodicticus edwardsi"" OR ""Cameroon Potto"" OR ""Milne-Edwards's Potto"" OR ""Central Potto"""
